id,file_path,function_signature,body,parameters,examples
1040,..\pandas\reference\api\pandas.Timestamp.to_datetime64.html,pandas.Timestamp.to_datetime64,Timestamp.to_datetime64()# Return a numpy.datetime64 object with same precision.,No parameters found,"["">>> ts = pd.Timestamp(year=2023, month=1, day=1,\n...                   hour=10, second=15)\n>>> ts\nTimestamp('2023-01-01 10:00:15')\n>>> ts.to_datetime64()\nnumpy.datetime64('2023-01-01T10:00:15.000000')""]"
1041,..\pandas\reference\api\pandas.CategoricalIndex.reorder_categories.html,pandas.CategoricalIndex.reorder_categories,"CategoricalIndex.reorder_categories(*args, **kwargs)[source]# Reorder categories as specified in new_categories. new_categories need to include all old categories and no new category items.","Parameters: new_categoriesIndex-likeThe categories in new order. orderedbool, optionalWhether or not the categorical is treated as a ordered categorical. If not given, do not change the ordered information. Returns: CategoricalCategorical with reordered categories. Raises: ValueErrorIf the new categories do not contain all old category items or any new ones","["">>> ser = pd.Series(['a', 'b', 'c', 'a'], dtype='category')\n>>> ser = ser.cat.reorder_categories(['c', 'b', 'a'], ordered=True)\n>>> ser\n0   a\n1   b\n2   c\n3   a\ndtype: category\nCategories (3, object): ['c' < 'b' < 'a']"", "">>> ser.sort_values()\n2   c\n1   b\n0   a\n3   a\ndtype: category\nCategories (3, object): ['c' < 'b' < 'a']"", "">>> ci = pd.CategoricalIndex(['a', 'b', 'c', 'a'])\n>>> ci\nCategoricalIndex(['a', 'b', 'c', 'a'], categories=['a', 'b', 'c'],\n                 ordered=False, dtype='category')\n>>> ci.reorder_categories(['c', 'b', 'a'], ordered=True)\nCategoricalIndex(['a', 'b', 'c', 'a'], categories=['c', 'b', 'a'],\n                 ordered=True, dtype='category')""]"
1042,..\pandas\reference\api\pandas.tseries.offsets.QuarterEnd.is_quarter_start.html,pandas.tseries.offsets.QuarterEnd.is_quarter_start,QuarterEnd.is_quarter_start(ts)# Return boolean whether a timestamp occurs on the quarter start.,No parameters found,"['>>> ts = pd.Timestamp(2022, 1, 1)\n>>> freq = pd.offsets.Hour(5)\n>>> freq.is_quarter_start(ts)\nTrue']"
1043,..\pandas\reference\api\pandas.tseries.offsets.CustomBusinessMonthEnd.normalize.html,pandas.tseries.offsets.CustomBusinessMonthEnd.normalize,CustomBusinessMonthEnd.normalize#,No parameters found,[]
1044,..\pandas\reference\api\pandas.DataFrame.copy.html,pandas.DataFrame.copy,"DataFrame.copy(deep=True)[source]# Make a copy of this object’s indices and data. When deep=True (default), a new object will be created with a copy of the calling object’s data and indices. Modifications to the data or indices of the copy will not be reflected in the original object (see notes below). When deep=False, a new object will be created without copying the calling object’s data or index (only references to the data and index are copied). Any changes to the data of the original will be reflected in the shallow copy (and vice versa). Note The deep=False behaviour as described above will change in pandas 3.0. Copy-on-Write will be enabled by default, which means that the “shallow” copy is that is returned with deep=False will still avoid making an eager copy, but changes to the data of the original will no longer be reflected in the shallow copy (or vice versa). Instead, it makes use of a lazy (deferred) copy mechanism that will copy the data only when any changes to the original or shallow copy is made. You can already get the future behavior and improvements through enabling copy on write pd.options.mode.copy_on_write = True Notes When deep=True, data is copied but actual Python objects will not be copied recursively, only the reference to the object. This is in contrast to copy.deepcopy in the Standard Library, which recursively copies object data (see examples below). While Index objects are copied when deep=True, the underlying numpy array is not copied for performance reasons. Since Index is immutable, the underlying data can be safely shared and a copy is not needed. Since pandas is not thread safe, see the gotchas when copying in a threading environment. When copy_on_write in pandas config is set to True, the copy_on_write config takes effect even when deep=False. This means that any changes to the copied data would make a new copy of the data upon write (and vice versa). Changes made to either the original or copied variable would not be reflected in the counterpart. See Copy_on_Write for more information.","Parameters: deepbool, default TrueMake a deep copy, including a copy of the data and the indices. With deep=False neither the indices nor the data are copied. Returns: Series or DataFrameObject type matches caller.","['>>> s = pd.Series([1, 2], index=[""a"", ""b""])\n>>> s\na    1\nb    2\ndtype: int64', '>>> s_copy = s.copy()\n>>> s_copy\na    1\nb    2\ndtype: int64', '>>> s = pd.Series([1, 2], index=[""a"", ""b""])\n>>> deep = s.copy()\n>>> shallow = s.copy(deep=False)', '>>> s is shallow\nFalse\n>>> s.values is shallow.values and s.index is shallow.index\nTrue', '>>> s is deep\nFalse\n>>> s.values is deep.values or s.index is deep.index\nFalse', '>>> s.iloc[0] = 3\n>>> shallow.iloc[1] = 4\n>>> s\na    3\nb    4\ndtype: int64\n>>> shallow\na    3\nb    4\ndtype: int64\n>>> deep\na    1\nb    2\ndtype: int64', '>>> s = pd.Series([[1, 2], [3, 4]])\n>>> deep = s.copy()\n>>> s[0][0] = 10\n>>> s\n0    [10, 2]\n1     [3, 4]\ndtype: object\n>>> deep\n0    [10, 2]\n1     [3, 4]\ndtype: object', '>>> with pd.option_context(""mode.copy_on_write"", True):\n...     s = pd.Series([1, 2], index=[""a"", ""b""])\n...     copy = s.copy(deep=False)\n...     s.iloc[0] = 100\n...     s\na    100\nb      2\ndtype: int64\n>>> copy\na    1\nb    2\ndtype: int64']"
1045,..\pandas\reference\api\pandas.Series.median.html,pandas.Series.median,"Series.median(axis=0, skipna=True, numeric_only=False, **kwargs)[source]# Return the median of the values over the requested axis.","Parameters: axis{index (0)}Axis for the function to be applied on. For Series this parameter is unused and defaults to 0. For DataFrames, specifying axis=None will apply the aggregation across both axes. Added in version 2.0.0. skipnabool, default TrueExclude NA/null values when computing the result. numeric_onlybool, default FalseInclude only float, int, boolean columns. Not implemented for Series. **kwargsAdditional keyword arguments to be passed to the function. Returns: scalar or scalar","['>>> s = pd.Series([1, 2, 3])\n>>> s.median()\n2.0', "">>> df = pd.DataFrame({'a': [1, 2], 'b': [2, 3]}, index=['tiger', 'zebra'])\n>>> df\n       a   b\ntiger  1   2\nzebra  2   3\n>>> df.median()\na   1.5\nb   2.5\ndtype: float64"", '>>> df.median(axis=1)\ntiger   1.5\nzebra   2.5\ndtype: float64', "">>> df = pd.DataFrame({'a': [1, 2], 'b': ['T', 'Z']},\n...                   index=['tiger', 'zebra'])\n>>> df.median(numeric_only=True)\na   1.5\ndtype: float64""]"
1046,..\pandas\reference\api\pandas.errors.DuplicateLabelError.html,pandas.errors.DuplicateLabelError,exception pandas.errors.DuplicateLabelError[source]# Error raised when an operation would introduce duplicate labels.,No parameters found,"["">>> s = pd.Series([0, 1, 2], index=['a', 'b', 'c']).set_flags(\n...     allows_duplicate_labels=False\n... )\n>>> s.reindex(['a', 'a', 'b'])\nTraceback (most recent call last):\n   ...\nDuplicateLabelError: Index has duplicates.\n      positions\nlabel\na        [0, 1]""]"
1047,..\pandas\reference\api\pandas.NaT.html,pandas.NaT,pandas.NaT# alias of NaT,No parameters found,[]
1048,..\pandas\reference\api\pandas.Timestamp.to_julian_date.html,pandas.Timestamp.to_julian_date,"Timestamp.to_julian_date()# Convert TimeStamp to a Julian Date. 0 Julian date is noon January 1, 4713 BC.",No parameters found,"["">>> ts = pd.Timestamp('2020-03-14T15:32:52')\n>>> ts.to_julian_date()\n2458923.147824074""]"
1049,..\pandas\reference\api\pandas.CategoricalIndex.set_categories.html,pandas.CategoricalIndex.set_categories,"CategoricalIndex.set_categories(*args, **kwargs)[source]# Set the categories to the specified new categories. new_categories can include new categories (which will result in unused categories) or remove old categories (which results in values set to NaN). If rename=True, the categories will simply be renamed (less or more items than in old categories will result in values set to NaN or in unused categories respectively). This method can be used to perform more than one action of adding, removing, and reordering simultaneously and is therefore faster than performing the individual steps via the more specialised methods. On the other hand this methods does not do checks (e.g., whether the old categories are included in the new categories on a reorder), which can result in surprising changes, for example when using special string dtypes, which does not considers a S1 string equal to a single char python string.","Parameters: new_categoriesIndex-likeThe categories in new order. orderedbool, default FalseWhether or not the categorical is treated as a ordered categorical. If not given, do not change the ordered information. renamebool, default FalseWhether or not the new_categories should be considered as a rename of the old categories or as reordered categories. Returns: Categorical with reordered categories. Raises: ValueErrorIf new_categories does not validate as categories","["">>> raw_cat = pd.Categorical(['a', 'b', 'c', 'A'],\n...                           categories=['a', 'b', 'c'], ordered=True)\n>>> ser = pd.Series(raw_cat)\n>>> ser\n0   a\n1   b\n2   c\n3   NaN\ndtype: category\nCategories (3, object): ['a' < 'b' < 'c']"", "">>> ser.cat.set_categories(['A', 'B', 'C'], rename=True)\n0   A\n1   B\n2   C\n3   NaN\ndtype: category\nCategories (3, object): ['A' < 'B' < 'C']"", "">>> ci = pd.CategoricalIndex(['a', 'b', 'c', 'A'],\n...                          categories=['a', 'b', 'c'], ordered=True)\n>>> ci\nCategoricalIndex(['a', 'b', 'c', nan], categories=['a', 'b', 'c'],\n                 ordered=True, dtype='category')"", "">>> ci.set_categories(['A', 'b', 'c'])\nCategoricalIndex([nan, 'b', 'c', nan], categories=['A', 'b', 'c'],\n                 ordered=True, dtype='category')\n>>> ci.set_categories(['A', 'b', 'c'], rename=True)\nCategoricalIndex(['A', 'b', 'c', nan], categories=['A', 'b', 'c'],\n                 ordered=True, dtype='category')""]"
1050,..\pandas\reference\api\pandas.Series.memory_usage.html,pandas.Series.memory_usage,"Series.memory_usage(index=True, deep=False)[source]# Return the memory usage of the Series. The memory usage can optionally include the contribution of the index and of elements of object dtype.","Parameters: indexbool, default TrueSpecifies whether to include the memory usage of the Series index. deepbool, default FalseIf True, introspect the data deeply by interrogating object dtypes for system-level memory consumption, and include it in the returned value. Returns: intBytes of memory consumed.","['>>> s = pd.Series(range(3))\n>>> s.memory_usage()\n152', '>>> s.memory_usage(index=False)\n24', '>>> s = pd.Series([""a"", ""b""])\n>>> s.values\narray([\'a\', \'b\'], dtype=object)\n>>> s.memory_usage()\n144\n>>> s.memory_usage(deep=True)\n244']"
1051,..\pandas\reference\api\pandas.notna.html,pandas.notna,"pandas.notna(obj)[source]# Detect non-missing values for an array-like object. This function takes a scalar or array-like object and indicates whether values are valid (not missing, which is NaN in numeric arrays, None or NaN in object arrays, NaT in datetimelike).","Parameters: objarray-like or object valueObject to check for not null or non-missing values. Returns: bool or array-like of boolFor scalar input, returns a scalar boolean. For array input, returns an array of boolean indicating whether each corresponding element is valid.","["">>> pd.notna('dog')\nTrue"", '>>> pd.notna(pd.NA)\nFalse', '>>> pd.notna(np.nan)\nFalse', '>>> array = np.array([[1, np.nan, 3], [4, 5, np.nan]])\n>>> array\narray([[ 1., nan,  3.],\n       [ 4.,  5., nan]])\n>>> pd.notna(array)\narray([[ True, False,  True],\n       [ True,  True, False]])', '>>> index = pd.DatetimeIndex([""2017-07-05"", ""2017-07-06"", None,\n...                          ""2017-07-08""])\n>>> index\nDatetimeIndex([\'2017-07-05\', \'2017-07-06\', \'NaT\', \'2017-07-08\'],\n              dtype=\'datetime64[ns]\', freq=None)\n>>> pd.notna(index)\narray([ True,  True, False,  True])', "">>> df = pd.DataFrame([['ant', 'bee', 'cat'], ['dog', None, 'fly']])\n>>> df\n     0     1    2\n0  ant   bee  cat\n1  dog  None  fly\n>>> pd.notna(df)\n      0      1     2\n0  True   True  True\n1  True  False  True"", '>>> pd.notna(df[1])\n0     True\n1    False\nName: 1, dtype: bool']"
1052,..\pandas\reference\api\pandas.errors.EmptyDataError.html,pandas.errors.EmptyDataError,exception pandas.errors.EmptyDataError[source]# Exception raised in pd.read_csv when empty data or header is encountered.,No parameters found,['>>> from io import StringIO\n>>> empty = StringIO()\n>>> pd.read_csv(empty)\nTraceback (most recent call last):\nEmptyDataError: No columns to parse from file']
1053,..\pandas\reference\api\pandas.DataFrame.corr.html,pandas.DataFrame.corr,"DataFrame.corr(method='pearson', min_periods=1, numeric_only=False)[source]# Compute pairwise correlation of columns, excluding NA/null values. Notes Pearson, Kendall and Spearman correlation are currently computed using pairwise complete observations. Pearson correlation coefficient Kendall rank correlation coefficient Spearman’s rank correlation coefficient","Parameters: method{‘pearson’, ‘kendall’, ‘spearman’} or callableMethod of correlation: pearson : standard correlation coefficient kendall : Kendall Tau correlation coefficient spearman : Spearman rank correlation callable: callable with input two 1d ndarraysand returning a float. Note that the returned matrix from corr will have 1 along the diagonals and will be symmetric regardless of the callable’s behavior. min_periodsint, optionalMinimum number of observations required per pair of columns to have a valid result. Currently only available for Pearson and Spearman correlation. numeric_onlybool, default FalseInclude only float, int or boolean data. Added in version 1.5.0. Changed in version 2.0.0: The default value of numeric_only is now False. Returns: DataFrameCorrelation matrix.","["">>> def histogram_intersection(a, b):\n...     v = np.minimum(a, b).sum().round(decimals=1)\n...     return v\n>>> df = pd.DataFrame([(.2, .3), (.0, .6), (.6, .0), (.2, .1)],\n...                   columns=['dogs', 'cats'])\n>>> df.corr(method=histogram_intersection)\n      dogs  cats\ndogs   1.0   0.3\ncats   0.3   1.0"", "">>> df = pd.DataFrame([(1, 1), (2, np.nan), (np.nan, 3), (4, 4)],\n...                   columns=['dogs', 'cats'])\n>>> df.corr(min_periods=3)\n      dogs  cats\ndogs   1.0   NaN\ncats   NaN   1.0""]"
1054,..\pandas\reference\api\pandas.tseries.offsets.QuarterEnd.is_year_end.html,pandas.tseries.offsets.QuarterEnd.is_year_end,QuarterEnd.is_year_end(ts)# Return boolean whether a timestamp occurs on the year end.,No parameters found,"['>>> ts = pd.Timestamp(2022, 1, 1)\n>>> freq = pd.offsets.Hour(5)\n>>> freq.is_year_end(ts)\nFalse']"
1055,..\pandas\reference\api\pandas.Timestamp.to_numpy.html,pandas.Timestamp.to_numpy,"Timestamp.to_numpy(dtype=None, copy=False)# Convert the Timestamp to a NumPy datetime64. This is an alias method for Timestamp.to_datetime64(). The dtype and copy parameters are available here only for compatibility. Their values will not affect the return value.",Returns: numpy.datetime64,"["">>> ts = pd.Timestamp('2020-03-14T15:32:52.192548651')\n>>> ts.to_numpy()\nnumpy.datetime64('2020-03-14T15:32:52.192548651')"", "">>> pd.NaT.to_numpy()\nnumpy.datetime64('NaT')""]"
1056,..\pandas\reference\api\pandas.tseries.offsets.CustomBusinessMonthEnd.rule_code.html,pandas.tseries.offsets.CustomBusinessMonthEnd.rule_code,CustomBusinessMonthEnd.rule_code#,No parameters found,[]
1057,..\pandas\reference\api\pandas.concat.html,pandas.concat,"pandas.concat(objs, *, axis=0, join='outer', ignore_index=False, keys=None, levels=None, names=None, verify_integrity=False, sort=False, copy=None)[source]# Concatenate pandas objects along a particular axis. Allows optional set logic along the other axes. Can also add a layer of hierarchical indexing on the concatenation axis, which may be useful if the labels are the same (or overlapping) on the passed axis number. Notes The keys, levels, and names arguments are all optional. A walkthrough of how this method fits in with other tools for combining pandas objects can be found here. It is not recommended to build DataFrames by adding single rows in a for loop. Build a list of rows and make a DataFrame in a single concat.","Parameters: objsa sequence or mapping of Series or DataFrame objectsIf a mapping is passed, the sorted keys will be used as the keys argument, unless it is passed, in which case the values will be selected (see below). Any None objects will be dropped silently unless they are all None in which case a ValueError will be raised. axis{0/’index’, 1/’columns’}, default 0The axis to concatenate along. join{‘inner’, ‘outer’}, default ‘outer’How to handle indexes on other axis (or axes). ignore_indexbool, default FalseIf True, do not use the index values along the concatenation axis. The resulting axis will be labeled 0, …, n - 1. This is useful if you are concatenating objects where the concatenation axis does not have meaningful indexing information. Note the index values on the other axes are still respected in the join. keyssequence, default NoneIf multiple levels passed, should contain tuples. Construct hierarchical index using the passed keys as the outermost level. levelslist of sequences, default NoneSpecific levels (unique values) to use for constructing a MultiIndex. Otherwise they will be inferred from the keys. nameslist, default NoneNames for the levels in the resulting hierarchical index. verify_integritybool, default FalseCheck whether the new concatenated axis contains duplicates. This can be very expensive relative to the actual data concatenation. sortbool, default FalseSort non-concatenation axis if it is not already aligned. One exception to this is when the non-concatentation axis is a DatetimeIndex and join=’outer’ and the axis is not already aligned. In that case, the non-concatenation axis is always sorted lexicographically. copybool, default TrueIf False, do not copy data unnecessarily. Returns: object, type of objsWhen concatenating all Series along the index (axis=0), a Series is returned. When objs contains at least one DataFrame, a DataFrame is returned. When concatenating along the columns (axis=1), a DataFrame is returned.","["">>> s1 = pd.Series(['a', 'b'])\n>>> s2 = pd.Series(['c', 'd'])\n>>> pd.concat([s1, s2])\n0    a\n1    b\n0    c\n1    d\ndtype: object"", '>>> pd.concat([s1, s2], ignore_index=True)\n0    a\n1    b\n2    c\n3    d\ndtype: object', "">>> pd.concat([s1, s2], keys=['s1', 's2'])\ns1  0    a\n    1    b\ns2  0    c\n    1    d\ndtype: object"", "">>> pd.concat([s1, s2], keys=['s1', 's2'],\n...           names=['Series name', 'Row ID'])\nSeries name  Row ID\ns1           0         a\n             1         b\ns2           0         c\n             1         d\ndtype: object"", "">>> df1 = pd.DataFrame([['a', 1], ['b', 2]],\n...                    columns=['letter', 'number'])\n>>> df1\n  letter  number\n0      a       1\n1      b       2\n>>> df2 = pd.DataFrame([['c', 3], ['d', 4]],\n...                    columns=['letter', 'number'])\n>>> df2\n  letter  number\n0      c       3\n1      d       4\n>>> pd.concat([df1, df2])\n  letter  number\n0      a       1\n1      b       2\n0      c       3\n1      d       4"", "">>> df3 = pd.DataFrame([['c', 3, 'cat'], ['d', 4, 'dog']],\n...                    columns=['letter', 'number', 'animal'])\n>>> df3\n  letter  number animal\n0      c       3    cat\n1      d       4    dog\n>>> pd.concat([df1, df3], sort=False)\n  letter  number animal\n0      a       1    NaN\n1      b       2    NaN\n0      c       3    cat\n1      d       4    dog"", '>>> pd.concat([df1, df3], join=""inner"")\n  letter  number\n0      a       1\n1      b       2\n0      c       3\n1      d       4', "">>> df4 = pd.DataFrame([['bird', 'polly'], ['monkey', 'george']],\n...                    columns=['animal', 'name'])\n>>> pd.concat([df1, df4], axis=1)\n  letter  number  animal    name\n0      a       1    bird   polly\n1      b       2  monkey  george"", "">>> df5 = pd.DataFrame([1], index=['a'])\n>>> df5\n   0\na  1\n>>> df6 = pd.DataFrame([2], index=['a'])\n>>> df6\n   0\na  2\n>>> pd.concat([df5, df6], verify_integrity=True)\nTraceback (most recent call last):\n    ...\nValueError: Indexes have overlapping values: ['a']"", "">>> df7 = pd.DataFrame({'a': 1, 'b': 2}, index=[0])\n>>> df7\n    a   b\n0   1   2\n>>> new_row = pd.Series({'a': 3, 'b': 4})\n>>> new_row\na    3\nb    4\ndtype: int64\n>>> pd.concat([df7, new_row.to_frame().T], ignore_index=True)\n    a   b\n0   1   2\n1   3   4""]"
1058,..\pandas\reference\api\pandas.Series.min.html,pandas.Series.min,"Series.min(axis=0, skipna=True, numeric_only=False, **kwargs)[source]# Return the minimum of the values over the requested axis. If you want the index of the minimum, use idxmin. This is the equivalent of the numpy.ndarray method argmin.","Parameters: axis{index (0)}Axis for the function to be applied on. For Series this parameter is unused and defaults to 0. For DataFrames, specifying axis=None will apply the aggregation across both axes. Added in version 2.0.0. skipnabool, default TrueExclude NA/null values when computing the result. numeric_onlybool, default FalseInclude only float, int, boolean columns. Not implemented for Series. **kwargsAdditional keyword arguments to be passed to the function. Returns: scalar or scalar","["">>> idx = pd.MultiIndex.from_arrays([\n...     ['warm', 'warm', 'cold', 'cold'],\n...     ['dog', 'falcon', 'fish', 'spider']],\n...     names=['blooded', 'animal'])\n>>> s = pd.Series([4, 2, 0, 8], name='legs', index=idx)\n>>> s\nblooded  animal\nwarm     dog       4\n         falcon    2\ncold     fish      0\n         spider    8\nName: legs, dtype: int64"", '>>> s.min()\n0']"
1059,..\pandas\reference\api\pandas.DataFrame.corrwith.html,pandas.DataFrame.corrwith,"DataFrame.corrwith(other, axis=0, drop=False, method='pearson', numeric_only=False)[source]# Compute pairwise correlation. Pairwise correlation is computed between rows or columns of DataFrame with rows or columns of Series or DataFrame. DataFrames are first aligned along both axes before computing the correlations.","Parameters: otherDataFrame, SeriesObject with which to compute correlations. axis{0 or ‘index’, 1 or ‘columns’}, default 0The axis to use. 0 or ‘index’ to compute row-wise, 1 or ‘columns’ for column-wise. dropbool, default FalseDrop missing indices from result. method{‘pearson’, ‘kendall’, ‘spearman’} or callableMethod of correlation: pearson : standard correlation coefficient kendall : Kendall Tau correlation coefficient spearman : Spearman rank correlation callable: callable with input two 1d ndarraysand returning a float. numeric_onlybool, default FalseInclude only float, int or boolean data. Added in version 1.5.0. Changed in version 2.0.0: The default value of numeric_only is now False. Returns: SeriesPairwise correlations.","['>>> index = [""a"", ""b"", ""c"", ""d"", ""e""]\n>>> columns = [""one"", ""two"", ""three"", ""four""]\n>>> df1 = pd.DataFrame(np.arange(20).reshape(5, 4), index=index, columns=columns)\n>>> df2 = pd.DataFrame(np.arange(16).reshape(4, 4), index=index[:4], columns=columns)\n>>> df1.corrwith(df2)\none      1.0\ntwo      1.0\nthree    1.0\nfour     1.0\ndtype: float64', '>>> df2.corrwith(df1, axis=1)\na    1.0\nb    1.0\nc    1.0\nd    1.0\ne    NaN\ndtype: float64']"
1060,..\pandas\reference\api\pandas.Timestamp.to_period.html,pandas.Timestamp.to_period,Timestamp.to_period(freq=None)# Return an period of which this timestamp is an observation.,No parameters found,"["">>> ts = pd.Timestamp('2020-03-14T15:32:52.192548651')\n>>> # Year end frequency\n>>> ts.to_period(freq='Y')\nPeriod('2020', 'Y-DEC')"", "">>> # Month end frequency\n>>> ts.to_period(freq='M')\nPeriod('2020-03', 'M')"", "">>> # Weekly frequency\n>>> ts.to_period(freq='W')\nPeriod('2020-03-09/2020-03-15', 'W-SUN')"", "">>> # Quarter end frequency\n>>> ts.to_period(freq='Q')\nPeriod('2020Q1', 'Q-DEC')""]"
1061,..\pandas\reference\api\pandas.tseries.offsets.QuarterEnd.is_year_start.html,pandas.tseries.offsets.QuarterEnd.is_year_start,QuarterEnd.is_year_start(ts)# Return boolean whether a timestamp occurs on the year start.,No parameters found,"['>>> ts = pd.Timestamp(2022, 1, 1)\n>>> freq = pd.offsets.Hour(5)\n>>> freq.is_year_start(ts)\nTrue']"
1062,..\pandas\reference\api\pandas.notnull.html,pandas.notnull,"pandas.notnull(obj)[source]# Detect non-missing values for an array-like object. This function takes a scalar or array-like object and indicates whether values are valid (not missing, which is NaN in numeric arrays, None or NaN in object arrays, NaT in datetimelike).","Parameters: objarray-like or object valueObject to check for not null or non-missing values. Returns: bool or array-like of boolFor scalar input, returns a scalar boolean. For array input, returns an array of boolean indicating whether each corresponding element is valid.","["">>> pd.notna('dog')\nTrue"", '>>> pd.notna(pd.NA)\nFalse', '>>> pd.notna(np.nan)\nFalse', '>>> array = np.array([[1, np.nan, 3], [4, 5, np.nan]])\n>>> array\narray([[ 1., nan,  3.],\n       [ 4.,  5., nan]])\n>>> pd.notna(array)\narray([[ True, False,  True],\n       [ True,  True, False]])', '>>> index = pd.DatetimeIndex([""2017-07-05"", ""2017-07-06"", None,\n...                          ""2017-07-08""])\n>>> index\nDatetimeIndex([\'2017-07-05\', \'2017-07-06\', \'NaT\', \'2017-07-08\'],\n              dtype=\'datetime64[ns]\', freq=None)\n>>> pd.notna(index)\narray([ True,  True, False,  True])', "">>> df = pd.DataFrame([['ant', 'bee', 'cat'], ['dog', None, 'fly']])\n>>> df\n     0     1    2\n0  ant   bee  cat\n1  dog  None  fly\n>>> pd.notna(df)\n      0      1     2\n0  True   True  True\n1  True  False  True"", '>>> pd.notna(df[1])\n0     True\n1    False\nName: 1, dtype: bool']"
1063,..\pandas\reference\api\pandas.core.groupby.DataFrameGroupBy.agg.html,pandas.core.groupby.DataFrameGroupBy.agg,"DataFrameGroupBy.agg(func=None, *args, engine=None, engine_kwargs=None, **kwargs)[source]# Aggregate using one or more operations over the specified axis. Notes When using engine='numba', there will be no “fall back” behavior internally. The group data and group index will be passed as numpy arrays to the JITed user defined function, and no alternative execution attempts will be tried. Functions that mutate the passed object can produce unexpected behavior or errors and are not supported. See Mutating with User Defined Function (UDF) methods for more details. Changed in version 1.3.0: The resulting dtype will reflect the return value of the passed func, see the examples below.","Parameters: funcfunction, str, list, dict or NoneFunction to use for aggregating the data. If a function, must either work when passed a DataFrame or when passed to DataFrame.apply. Accepted combinations are: function string function name list of functions and/or function names, e.g. [np.sum, 'mean'] dict of axis labels -> functions, function names or list of such. None, in which case **kwargs are used with Named Aggregation. Here the output has one column for each element in **kwargs. The name of the column is keyword, whereas the value determines the aggregation used to compute the values in the column. Can also accept a Numba JIT function with engine='numba' specified. Only passing a single function is supported with this engine. If the 'numba' engine is chosen, the function must be a user defined function with values and index as the first and second arguments respectively in the function signature. Each group’s index will be passed to the user defined function and optionally available for use. *argsPositional arguments to pass to func. enginestr, default None 'cython' : Runs the function through C-extensions from cython. 'numba' : Runs the function through JIT compiled code from numba. None : Defaults to 'cython' or globally setting compute.use_numba engine_kwargsdict, default None For 'cython' engine, there are no accepted engine_kwargs For 'numba' engine, the engine can accept nopython, nogil and parallel dictionary keys. The values must either be True or False. The default engine_kwargs for the 'numba' engine is {'nopython': True, 'nogil': False, 'parallel': False} and will be applied to the function **kwargs If func is None, **kwargs are used to define the output names and aggregations via Named Aggregation. See func entry. Otherwise, keyword arguments to be passed into func. Returns: DataFrame","['>>> data = {""A"": [1, 1, 2, 2],\n...         ""B"": [1, 2, 3, 4],\n...         ""C"": [0.362838, 0.227877, 1.267767, -0.562860]}\n>>> df = pd.DataFrame(data)\n>>> df\n   A  B         C\n0  1  1  0.362838\n1  1  2  0.227877\n2  2  3  1.267767\n3  2  4 -0.562860', "">>> df.groupby('A').agg('min')\n   B         C\nA\n1  1  0.227877\n2  3 -0.562860"", "">>> df.groupby('A').agg(['min', 'max'])\n    B             C\n  min max       min       max\nA\n1   1   2  0.227877  0.362838\n2   3   4 -0.562860  1.267767"", "">>> df.groupby('A').B.agg(['min', 'max'])\n   min  max\nA\n1    1    2\n2    3    4"", "">>> df.groupby('A').agg(lambda x: sum(x) + 2)\n    B          C\nA\n1       5       2.590715\n2       9       2.704907"", "">>> df.groupby('A').agg({'B': ['min', 'max'], 'C': 'sum'})\n    B             C\n  min max       sum\nA\n1   1   2  0.590715\n2   3   4  0.704907"", '>>> df.groupby(""A"").agg(\n...     b_min=pd.NamedAgg(column=""B"", aggfunc=""min""),\n...     c_sum=pd.NamedAgg(column=""C"", aggfunc=""sum"")\n... )\n   b_min     c_sum\nA\n1      1  0.590715\n2      3  0.704907', '>>> df.groupby(""A"")[[""B""]].agg(lambda x: x.astype(float).min())\n      B\nA\n1   1.0\n2   3.0']"
1064,..\pandas\reference\api\pandas.errors.IncompatibilityWarning.html,pandas.errors.IncompatibilityWarning,exception pandas.errors.IncompatibilityWarning[source]# Warning raised when trying to use where criteria on an incompatible HDF5 file.,No parameters found,[]
1065,..\pandas\reference\api\pandas.tseries.offsets.CustomBusinessMonthEnd.weekmask.html,pandas.tseries.offsets.CustomBusinessMonthEnd.weekmask,CustomBusinessMonthEnd.weekmask#,No parameters found,[]
1066,..\pandas\reference\api\pandas.Series.mod.html,pandas.Series.mod,"Series.mod(other, level=None, fill_value=None, axis=0)[source]# Return Modulo of series and other, element-wise (binary operator mod). Equivalent to series % other, but with support to substitute a fill_value for missing data in either one of the inputs.","Parameters: otherSeries or scalar value levelint or nameBroadcast across a level, matching Index values on the passed MultiIndex level. fill_valueNone or float value, default None (NaN)Fill existing missing (NaN) values, and any new element needed for successful Series alignment, with this value before computation. If data in both corresponding Series locations is missing the result of filling (at that location) will be missing. axis{0 or ‘index’}Unused. Parameter needed for compatibility with DataFrame. Returns: SeriesThe result of the operation.","["">>> a = pd.Series([1, 1, 1, np.nan], index=['a', 'b', 'c', 'd'])\n>>> a\na    1.0\nb    1.0\nc    1.0\nd    NaN\ndtype: float64\n>>> b = pd.Series([1, np.nan, 1, np.nan], index=['a', 'b', 'd', 'e'])\n>>> b\na    1.0\nb    NaN\nd    1.0\ne    NaN\ndtype: float64\n>>> a.mod(b, fill_value=0)\na    0.0\nb    NaN\nc    NaN\nd    0.0\ne    NaN\ndtype: float64""]"
